,SMILES,pKa
507,CC(C)SC(=N)c1ccccc1,8.04
508,CC(C)SC(C)C(=O)O,3.78
509,CC(C)SC1=NS(=O)(=O)c2cc(Cl)ccc2N1,7.01
510,CC(C)SCC(=O)O,3.72
511,CC(C)SCCN,9.23
512,CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1N,10.52
513,CC(C)[C@H]1CC[C@H](C)C[C@@H]1N,10.63
514,CC(C)c1cc(O)c(=O)ccc1Br,6.53
515,CC(C)c1ccc(Br)c(O)c(=O)c1,6.28
516,CC(C)c1ccc(C(=O)/C=C/C(=O)O)cc1,3.4
517,CC(C)c1ccc(C(=O)O)cc1,4.31
518,CC(C)c1ccc(CCCN(C)C)cc1,10.49
519,CC(C)c1ccc(O)cc1,10.1
520,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)C(=O)O,5.7
521,CC(C)c1cccc(=O)c(O)c1,7.22
522,CC(C)c1cccc(=O)c(O)c1Br,6.68
523,CC(C)c1cccc(C(=O)O)c1,4.27
524,CC(C)c1cccc2ccc(O)cc12,9.52
525,CC(C)c1ccccc1C(=O)O,3.64
526,CC(C)c1ccccc1N,4.42
527,CC(C)c1ccccc1O,10.4
528,CC(C)c1ccccn1,5.83
529,CC(C)c1cccnc1,5.72
530,CC(C)c1ccncc1,6.02
531,CC(C)c1csc(C(=O)O)c1,3.64
532,CC(C)n1cnc2ccccc21,5.74
533,CC(C)n1nnnc1N,1.91
534,CC(C=C(c1cccs1)c1cccs1)N(C)C,8.95
535,CC(CC(C#N)(c1ccccc1)c1ccccc1)N1CCCCC1,7.73
536,CC(CC(C#N)(c1ccccc1)c1ccccc1)N1CCOCC1,6.1
537,CC(CC(C)(C)[N+](=O)[O-])[N+](=O)[O-],8.95
538,CC(CC(c1ccccc1)c1ccccc1)N1CCOCC1,6.9
539,CC(CN(C)C)C(C#N)(c1ccccc1)c1ccccc1,7.9
540,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,9.235
541,CC(CN1CCCCC1)C(C#N)(c1ccccc1)c1ccccc1,7.54
542,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,9.07
543,CC(C[Si](C)(C)CCCCl)C(=O)O,5.05
544,CC(C[Si](C)(C)CCl)C(=O)O,5.32
545,CC(Cc1ccccc1)N(C)CCC#N,6.95
546,CC(Cc1ccccc1)NCCC#N,7.23
547,CC(Cl)/C=C/C(=O)N(Cc1ccc(C#N)cc1)CC(C)C,4.82
548,CC(Cl)C(=O)O,2.88
549,CC(Cl)CN,8.54
550,CC(Cl)CN(C)C,8.12
551,CC(I)C(=O)O,3.21
552,CC(I)[N+](=O)[O-],7.24
553,CC(N)C(N)=O,8.02
554,CC(N)CC#N,7.85
555,CC(N)CC1CCCCC1,10.14
556,CC(N)CCCc1ccccc1,9.99
557,CC(N)CCc1ccccc1,9.78
558,CC(N)Cc1ccc2c(c1)OCO2,9.67
559,CC(N)Cc1ccccc1,9.9
560,CC(N)c1ccccc1,9.36
561,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,12.015
562,CC(O)=C(C#N)C#N,1.0
563,CC(P)C(=O)O,4.15
564,CC(S(=O)(=O)c1ccc(OC(F)(F)F)cc1)S(=O)(=O)C(F)(F)F,6.2
565,CC([N+](=O)[O-])[N+](=O)[O-],5.28
566,CC(c1ccc([N+](=O)[O-])cc1)[N+](=O)[O-],6.51
567,CC(c1cccc(C(F)(F)F)c1)[N+](=O)[O-],6.96
568,CC(c1cccc(Cl)c1)[N+](=O)[O-],7.05
569,CC(c1cccc(F)c1)[N+](=O)[O-],7.05
570,CC(c1cccc([N+](=O)[O-])c1)[N+](=O)[O-],6.67
571,CC(c1ccccc1)N1CC(O[Si](C)(C)C)C1,7.82
572,CC(c1ccccc1)[N+](=O)[O-],7.39
573,CC/C(C)=C/C(=O)O,5.14
574,CC/C(C)=C\C(=O)O,5.15
575,CC/C([N+](=O)[O-])=[N+](/[O-])O,4.1
576,CC/C=C/C(=O)O,4.69
577,CC/C=C/CC(=O)O,4.52
578,CC/N=C1\C=C(NCC)CC(C)(C)C1,12.13
579,CC/N=c1\sc(-c2ccccc2)nn1CC,6.7
580,CC1(C(=O)O)CCCCC1,5.13
581,CC1(C(F)(F)F)NCCc2c1oc1cc(S(=O)(=O)c3cccc(F)c3)ccc21,5.7
582,CC1(C(F)F)NCCc2c1oc1cc(S(=O)(=O)c3cccc(F)c3)ccc21,6.2
583,CC1(C)C(=O)NC(=O)C1(C)C,9.7
584,CC1(C)C=CC(C)(c2cc3ccc(=O)oc3cc2O)CC1,8.12
585,CC1(C)CC(=O)C(=NO)C(=O)C1,5.4
586,CC1(C)CC(=O)C(Br)C(=O)C1,3.1
587,CC1(C)CC(=O)C(C)(C)N1,7.1
588,CC1(C)CC(=O)C(C=O)C(=O)C1,3.65
589,CC1(C)CC(=O)C=C(N2CCCC2)C1,3.15
590,CC1(C)CC(=O)CC(=O)C1,5.21
591,CC1(C)CC(=O)CC1=O,4.2
592,CC1(C)CC(O)[N+](C)(C)C1,8.7
593,CC1(C)CC2CCN1C(=O)C2,5.33
594,CC1(C)CCC(=O)N1O,8.7
595,CC1(C)CCCC(C)(C)N1,11.17
596,CC1(C)CCCCN1Cc1ccc2c(c1)OCO2,10.2
597,CC1(C)CCCN(Cc2ccc3c(c2)OCO3)C1,9.4
598,CC1(C)CCCN1Cc1ccc2c(c1)OCO2,10.0
599,CC1(C)CCN(Cc2ccc3c(c2)OCO3)C1,9.7
600,CC1(C)CCN(Cc2ccc3c(c2)OCO3)CC1,9.5
601,CC1(C)CCN1Cc1ccc2c(c1)OCO2,10.1
602,CC1(C)CCc2c(Cl)c(O)c(Cl)c(Cl)c2O1,7.1
603,CC1(C)CCc2c(cc(Cl)c(O)c2Cl)O1,7.7
604,CC1(C)CCc2c(ccc(O)c2Cl)O1,8.6
605,CC1(C)CCc2cc(O)c(Cl)cc2O1,9.1
606,CC1(C)CCc2cc(O)cc(Cl)c2O1,9.8
607,CC1(C)CCc2cc(O)ccc2O1,10.3
608,CC1(C)CCc2cc(S(=O)(=O)N(CC(=O)O)Cc3cccc(-c4ccccc4)c3)ccc2O1,3.4
609,CC1(C)CN(Cc2ccc3c(c2)OCO3)C1,9.6
610,CC1(C)CN1,5.37
611,CC1(C)NC(=O)NC1=O,9.19
612,CC1(C)NC(=S)NC1=O,8.71
613,CC1(C)NC(=S)NC1=S,7.65
614,CC1(C)OB(O)c2ccccc21,8.32
615,CC1(C)OC(=O)CC(=O)O1,5.15
616,CC1(C)OC(=O)NC1=O,6.15
617,CC1(C)O[C@@H]2CC(=O)OC[C@]23[C@@H]1CC(=O)[C@@]1(C)[C@H]3C[C@](C)(CC2CCOC2)C[C@]12O[C@H]2C(=O)O,2.7
618,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,8.7
619,CC1(C)SC(=O)NC1=O,6.64
620,CC1(C)SC(=S)NC1=O,5.38
621,CC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,3.9
622,CC1(Cc2ccccc2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,3.8
623,CC1([N+](C)(C)C)CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,6.03
624,CC1(c2cccc(-c3cccc(Cl)c3)c2)N=C(N)CCO1,9.3
625,CC1(c2ccccc2)COCC(N)=N1,9.8
626,CC1(c2ccccc2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,3.7
627,CC1(c2ccccc2)Cc2cc(OCCCC(=O)O)c(Cl)c(Cl)c2C1=O,6.4
628,CC12CC3(C)CC(C)(C1)CC(N)(C2)C3,10.58
629,CC12CC3CC(C)(C1)CC(N)(C3)C2,10.42
630,CC12CC3CC(C1)CC(N)(C3)C2,10.56
631,CC12CCC(=O)C=C1c1c(cc(OCC(=O)O)c(Cl)c1Cl)C2,3.75
632,CC12CN3CC(C)(C1)CC(C)(C3)C2,10.7
633,CC1=C(C)C(C(C)C(=O)O)CC1=O,4.4
634,CC1=C(O)CC(Cc2ccc(Br)cc2)C1=O,4.24
635,CC1=C(O)CC(Cc2ccccc2)C1=O,4.47
636,CC1=C(O)CCC1=O,4.47
637,CC1=CC(=O)C=C(C)C1=NO,8.04
638,CC1=CC(=O)CC(=O)O1,5.0
639,CC1=CC(C)(C)SC(=S)N1,10.9
640,CC1=CC(C)=N/C1=C/c1[nH]c(C)cc1C,8.4
641,CC1=CC(C)=Nc2ccc(C)cc2N1,4.65
642,CC1=CC(C)=[N+]2C1=C(c1ccc(N(C)C)cc1)c1c(C)cc(C)n1[B-]2(F)F,3.2
643,CC1=CCCCN1C,11.42
644,CC1=CCCN1C,11.94
645,CC1=CN(C)CC1C,9.6
646,CC1=CSC2=NCCCN12,10.31
647,CC1=CSC2=NCCN12,9.81
648,CC1=NCCCC1,9.57
649,CC1=NCCCCN1,12.7
650,CC1=NCCS1,5.29
651,CC1=NN(c2ccc(OCc3no[n+]([O-])c3C#N)cc2)C(=O)C1,7.06
652,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,8.59
653,CC1=Nc2ccccc2CO1,4.64
654,CC1C(=O)CC(C)(C)CC1=O,5.6
655,CC1C(=O)OC(C(C)(C)C)C1=O,4.84
656,CC1C(=O)c2ccccc2C1=O,6.17
657,CC1C2c3ccccc3C(c3ccccc32)C1C(N)=O,-0.89
658,CC1C2c3ccccc3C(c3ccccc32)C1CN(C)C,8.99
659,CC1CC(/C=C2\CC(C)(C)CN2)=NC1(C)C,12.1
660,CC1CC(=O)CC(=O)O1,5.1
661,CC1CC(=O)N(O)C1(C)C,8.85
662,CC1CC(C)C(=O)CC1=O,5.62
663,CC1CC2CCN1CC2,11.33
664,CC1CCCC(C)(C)N1,11.27
665,CC1CCCC(C)(C)N1C,10.76
666,CC1CCCC(C)C1C(=O)O,4.88
667,CC1CCCCC1=N,9.38
668,CC1CCCCN1,10.98
669,CC1CCCCN1C,10.26
670,CC1CCCN1C,10.24
671,CC1CCCNC1,10.92
672,CC1CCC[C@H](C(C)C(=O)O)C1,4.59
673,CC1CCN(C)C(C)(C)C1,10.24
674,CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc3ccccc23)CC1,10.4
675,CC1CCN(c2ccncc2)CC1,-0.56
676,CC1CCN1,10.96
677,CC1CCNC(C)(C)C1,11.1
678,CC1CCNCC1,10.89
679,CC1CN2CCC1CC2,11.29
680,CC1CN=C(C(C)(C)C)S1,5.02
681,CC1NC(N)=Nc2cccc(Cl)c21,9.9
682,CC1NC(N)=Nc2ccccc21,10.5
683,CC1NC(NCC(F)(F)F)=Nc2ccccc21,9.2
684,CC1NC(NCC(F)F)=Nc2c(Cl)ccc(Cl)c21,7.8
685,CC1NC(NCC(F)F)=Nc2ccc(Cl)c(Cl)c21,8.5
686,CC1NC(NCC(F)F)=Nc2cccc(Cl)c21,8.9
687,CC1NC(NCC(F)F)=Nc2ccccc21,9.7
688,CC1NC=CN1,7.86
689,CC1NCCc2c1[nH]c1ccc(Cl)cc21,15.2
690,CC1NOCc2ccccc21,3.7
691,CC1ONCc2ccccc21,3.6
692,CC1SC(C)(C(=O)O)OC1=O,1.94
693,CC=C=CC(=O)CC(Cc1ccccc1)C(=O)O,13.9
694,CC=C=CC(C)(C)C(=O)O,4.58
695,CCC#CC#CC#CC(=O)O,1.67
696,CCC#CC#CC(=O)O,1.91
697,CCC#CC(=O)O,2.6
698,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,8.723333
699,CCC(=O)C(CC(C)N1CCOCC1)(c1ccccc1)c1ccccc1,6.89
700,CCC(=O)C(CCN(C)C)(c1ccccc1)c1ccccc1,9.23
701,CCC(=O)C(CCN1CCCCC1)(c1ccccc1)c1ccccc1,8.86
702,CCC(=O)C(CCN1CCOCC1)(c1ccccc1)c1ccccc1,6.98
703,CCC(=O)C(C[C@H](C)N1CCOCC1)(c1ccccc1)c1ccccc1,6.73
704,CCC(=O)C(c1ccccc1)(c1ccccc1)C(C)CN1CCOCC1,7.12
705,CCC(=O)C(c1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,8.07
706,CCC(=O)CC(=O)CC,9.82
707,CCC(=O)CC(C)=O,9.36
708,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,7.85
709,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,8.43
710,CCC(=O)NBr,8.2
711,CCC(=O)NO,9.46
712,CCC(=O)NOC(=O)/C=C/c1ccccc1,6.8
713,CCC(=O)O,4.85
714,CCC(=O)OC(C)CN(C)C,8.26
715,CCC(=O)OCCN(C)C,8.29
716,CCC(=O)OO,8.1
717,CCC(=O)O[C@@]1(c2ccccc2)CCN(C)C[C@H]1C,8.66
718,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,9.2
719,CCC(=O)SCCN(C)C,8.28
720,CCC(=O)c1ccc(O)cc1,1.0
721,CCC(C(=O)O)C(=O)N1CCCCC1,3.86
722,CCC(C(C)=O)C(C)=O,11.33
723,CCC(C)(C)C(=O)O,5.03
724,CCC(C)(C)N,10.89
725,CCC(C)(C)N(C)C(C)(C)C,11.9
726,CCC(C)(C)N(C)C(C)C,11.2
727,CCC(C)(C)NC(C)(C)CC,11.6
728,CCC(C)(C)NC1CCCCC1,11.2
729,CCC(C)(C)Nc1ccccc1,6.55
730,CCC(C)(CC)Nc1ccccc1,6.32
731,CCC(C)(N)CC,10.91
732,CCC(C)C(=O)CCN1CCOCC1,7.07
733,CCC(C)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3.5
734,CCC(C)CC(=O)O,4.84
735,CCC(C)N,10.56
736,CCC(C)N(C)C,10.4
737,CCC(C)N(C)c1ccccc1,6.03
738,CCC(C)NC(C)C,11.0
739,CCC(C)NC(C)CC,10.94
740,CCC(C)NCC(C)C,10.77
741,CCC(C)Nc1ccccc1,5.47
742,CCC(C)c1ccccc1OC(=O)NC,0.0
743,CCC(CC(C)(C)[N+](=O)[O-])[N+](=O)[O-],9.73
744,CCC(CC(C)C)OO,12.8
745,CCC(CC)C(=O)O,4.73
746,CCC(N)(CC)CC,10.87
747,CCC(N)CCCl,8.53
748,CCC(Oc1ccccc1C)C(=O)O,3.43
749,CCC(P)C(=O)O,4.08
750,CCC([N+](=O)[O-])[N+](=O)[O-],5.67
751,CCC/C=C(/C)C(=O)O,4.44
752,CCC/C=C(\C)C(=O)O,5.13
753,CCC/C=C/C(=O)O,4.71
754,CCC/C=C1\CCCN1C,11.88
755,CCC1(C)CC(=O)NC1=O,9.34
756,CCC1(C)OC(=O)NC1=O,6.0
757,CCC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,3.9
758,CCC1(CC)C(=O)NC(=O)N(C(=O)c2ccccc2OC)C1=O,6.54
759,CCC1(CC)OC(=O)NC1=O,5.7
760,CCC1(CC)SC(=O)NC1=O,6.42
761,CCC1(c2ccccc2)C(=O)NC(=S)N(C)C1=O,7.65
762,CCC12C=CC(=O)C=C1c1c(cc(OCC(=O)O)c(Cl)c1Cl)C2,3.7
763,CCC12CC3CC(CC(N)(C3)C1)C2,10.61
764,CCC12CCC(=O)C=C1c1c(cc(OCC(=O)O)c(Cl)c1Cl)C2,3.6
765,CCC12CCC(=O)C=C1c1c(cc(OCC(=O)OC(C)(C)C(=O)O)c(Cl)c1Cl)C2,3.8
766,CCC12CCC(=O)C=C1c1c(cc(OCC(=O)OCC(=O)O)c(Cl)c1Cl)C2,3.8
767,CCC12CCC(=O)C=C1c1c(cc(OCC(=O)OCCN3CCOCC3)c(Cl)c1Cl)C2,5.08
768,CCC12CCC(=O)C=C1c1c(cc(OCCCC(=O)O)c(Cl)c1Cl)C2,3.7
769,CCC1=CC(=O)C=C(CC)C1=NO,8.34
770,CCC1=NCCC1,7.91
771,CCC1C(=O)C=C(C)OC1=O,5.3
772,CCC1C(=O)COC1=O,4.29
773,CCC1C(=O)c2ccccc2C1=O,6.5
774,CCC1CCCN1C,9.78
775,CCC1CN1,5.69
776,CCC1CN1CC,8.19
777,CCC1CSC(C(C)C)=N1,5.28
778,CCC1NC=CN1,7.73
779,CCCC(=N)OCC,7.08
780,CCCC(=O)C(CCN1CCOCC1)(c1ccccc1)c1ccccc1,7.17
781,CCCC(=O)NO,9.48
782,CCCC(=O)O,4.8
783,CCCC(=O)OC(C)CN(C)C,8.27
784,CCCC(=O)OCCN(C)C,8.31
785,CCCC(=O)OO,8.2
786,CCCC(=O)SCCN(C)C,8.32
787,CCCC(CCC)C(=O)O,4.8
788,CCCC([N+](=O)[O-])[N+](=O)[O-],5.2
789,CCCC/C=[N+](\[O-])O,4.5
790,CCCC1(CCC)SC(=O)NC1=O,6.37
791,CCCC12CC(=O)C=C1c1c(cc(OCC(=O)O)c(Cl)c1Cl)C2,3.84
792,CCCC12CCC(=O)C(C)=C1c1c(cc(OCC(=O)O)c(Cl)c1Cl)C2,3.5
793,CCCC12CCC(=O)C=C1c1c(cc(O)c(Cl)c1Cl)C2,6.18
794,CCCC12CCC(=O)C=C1c1c(cc(OCC(=O)O)c(C)c1C)C2,4.3
795,CCCC12CCC(=O)C=C1c1c(cc(OCC(=O)O)c(Cl)c1Cl)C2,3.6
796,CCCC12CCC(=O)C=C1c1c(cc(OCC(=O)OC(C)(C)C(=O)O)c(Cl)c1Cl)C2,3.8
797,CCCC12CCC(=O)C=C1c1ccc(OCC(=O)O)cc1C2,4.05
798,CCCC12CCC(C(C)=O)=C1c1c(cc(OCC(=O)O)c(Cl)c1Cl)C2,4.1
799,CCCC1CCCN1C,9.78
800,CCCCC#CC(=O)O,2.61
801,CCCCC(=O)O,4.82
802,CCCCC(CC)C(=O)O,4.76
803,CCCCC([N+](=O)[O-])[N+](=O)[O-],5.45
804,CCCCC/C(N)=N/N(C)C,10.4
805,CCCCC12CCC(=O)C=C1c1c(cc(OCC(=O)O)c(Cl)c1Cl)C2,3.5
806,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.8
807,CCCCC1CCCN1C,10.01
808,CCCCCC(=O)CC(C)=O,9.2
809,CCCCCC(=O)NO,9.58
810,CCCCCC(=O)O,4.85
811,CCCCCC(C)(C)N,10.83
812,CCCCCC(C)N,11.15
813,CCCCCC(C)NC,10.99
814,CCCCCC([N+](=O)[O-])[N+](=O)[O-],5.5
815,CCCCCCC(=O)NO,9.62
816,CCCCCCC(=O)O,4.88
817,CCCCCCC([N+](=O)[O-])[N+](=O)[O-],5.5
818,CCCCCCCC(=O)NO,9.19
819,CCCCCCCC(=O)O,4.9
820,CCCCCCCCC(=O)O,4.9
821,CCCCCCCCC(=O)OO,8.23
822,CCCCCCCCCC(=O)O,4.895
823,CCCCCCCCCCC(=O)O,4.9
824,CCCCCCCCCCCC(=O)O,4.895
825,CCCCCCCCCCCCC(=O)O,4.9
826,CCCCCCCCCCCCCCN,10.62
827,CCCCCCCCCCCCCN,10.63
828,CCCCCCCCCCCCN,10.615
829,CCCCCCCCCCCCN1CCOCC1,7.6
830,CCCCCCCCCCCCNCC(F)F,7.5
831,CCCCCCCCCCCN,10.63
832,CCCCCCCCCCN,10.64
833,CCCCCCCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.09
834,CCCCCCCCCNCc1ccc(C)cc1,9.48
835,CCCCCCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.39
836,CCCCCCCCCn1ccnc1,6.6
837,CCCCCCCCN,10.76
838,CCCCCCCCN1CCCCC1,8.28
839,CCCCCCCCNCC(F)(F)F,5.9
840,CCCCCCCCNCc1ccc(C)cc1,9.47
841,CCCCCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.09
842,CCCCCCCCOCCN(C)C,8.87
843,CCCCCCCN,10.34
844,CCCCCCCNCc1ccc(C)cc1,10.02
845,CCCCCCCNc1ccccc1,5.09
846,CCCCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.27
847,CCCCCCN,10.68
848,CCCCCCNCCCCCC,11.01
849,CCCCCCNCc1ccc(C)cc1,10.17
850,CCCCCCNc1ccccc1,5.21
851,CCCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.52
852,CCCCCCP(=O)(O)CCCCCC,3.24
853,CCCCCCn1ccnc1,7.2
854,CCCCCN,10.65
855,CCCCCN(C1=NCCN1)c1c(Br)cccc1Br,11.0
856,CCCCCNC(=O)NS(=O)(=O)c1cc(Cl)ccc1OC,5.46
857,CCCCCNC1=NCCN1OCCCc1ccccc1,10.0
858,CCCCCNC1=NCCN1OCCc1ccccc1,9.9
859,CCCCCNC1=NCCN1OCc1ccccc1,10.1
860,CCCCCNCCCCC,11.18
861,CCCCCNCc1ccc(C)cc1,10.08
862,CCCCCNc1ccccc1,5.2
863,CCCCCNc1nc2ccccc2n1CCc1ccccc1,7.4
864,CCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.47
865,CCCCCOc1ccc(C(=O)O)cc1,4.49
866,CCCCCOc1ccc(O)cc1,10.23
867,CCCCCP(=O)(O)CCCCC,3.23
868,CCCCCSC(=N)c1ccccc1,8.5
869,CCCCCSC1=NCCN1OCc1ccccc1,8.5
870,CCCCC[C@H](C)N,10.8
871,CCCCCc1cccnn1,3.7
872,CCCCCn1ccnc1,7.12
873,CCCCN,10.723333
874,CCCCN(C)C,10.03
875,CCCCN(C1=NCCN1)c1c(Br)cccc1Br,10.97
876,CCCCN(CC1CO1)CC1CO1,6.91
877,CCCCN(CCCC)CCCC,10.8
878,CCCCN(CCCC)c1ccc([N+](=O)[O-])cc1,1.08
879,CCCCN(CCCC)c1ccccc1,6.41
880,CCCCN(CCCC)c1nnc(-c2ccccc2)cc1C,4.88
881,CCCCN(CCCl)CCCl,6.63
882,CCCCN/C(C)=N/N(C)C,10.4
883,CCCCN1CCCC1,10.36
884,CCCCN1CCCC1C,10.65
885,CCCCN1CCCCC1,10.47
886,CCCCN1CCCCC1C,10.7
887,CCCCNC,10.8
888,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,5.275
889,CCCCNCCC#N,8.3
890,CCCCNCCCC,11.29
891,CCCCNCc1ccc(C)cc1,9.98
892,CCCCNCc1ccccc1,9.46
893,CCCCN[N+](=O)[O-],6.48
894,CCCCNc1c(N(C)CCCN(C)C)c(=O)c1=O,8.8
895,CCCCNc1ccccc1,5.11
896,CCCCNc1ccnc2cccc([N+](=O)[O-])c12,7.18
897,CCCCNc1nnc(-c2ccccc2)cc1C,6.1
898,CCCCO,15.58
899,CCCCOC(=N)c1ccccc1,6.09
900,CCCCOC(=O)c1ccc(N)cc1,2.47
901,CCCCOC(=O)c1ccc(O)cc1,8.34
902,CCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.07
903,CCCCOC(=O)c1ccc[n+](O)c1,0.03
904,CCCCOC(=S)NC(C)=O,9.25
905,CCCCOc1ccc(C(=O)O)cc1,4.48
906,CCCCOc1ccc(O)cc1,10.23
907,CCCCOc1ccc(OCCCN2CCOCC2)cc1,6.24
908,CCCCOc1cccc(C(=O)O)c1,4.25
909,CCCCP(=O)(O)CCCC,3.22
910,CCCCS,10.78
911,CCCCS(=O)O,2.2
912,CCCCSC(=N)c1ccccc1,8.21
913,CCCCSC1=NCCN1,9.0
914,CCCCSCC(=O)O,3.81
915,CCCCSCCN,8.37
916,CCCCSCCN(CC)CC,8.43
917,CCCC[As](=O)(O)CCCC,6.65
918,CCCC[Se](=O)O,5.29
919,CCCCc1cc(Cl)cc(Cl)c1O,8.1
920,CCCCc1ccccc1N,4.26
921,CCCCc1cccnn1,3.49
922,CCCCc1nc(N)c2ncsc2n1,3.49
923,CCCCn1ccnc1,7.14
924,CCCCn1cnc2ccccc21,5.31
925,CCCN,10.675
926,CCCN(C)C,9.62
927,CCCN(C)c1ccccc1,5.67
928,CCCN(C1=NCCN1)c1c(Br)cccc1Br,11.0
929,CCCN(CC)c1ccccc1,6.39
930,CCCN(CCC)CCC,10.47
931,CCCN(CCC)CCc1c[nH]c2ccccc12,8.6
932,CCCN(CCC)Cc1no[n+]([O-])c1C#N,5.46
933,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,3.4
934,CCCN(CCC)c1ccc([N+](=O)[O-])cc1,1.06
935,CCCN(CCC)c1ccccc1,6.13
936,CCCN(CCCl)CCCl,6.7
937,CCCN1C=CC(=CC=C2C=CC(=O)C=C2)C=C1,8.5
938,CCCN1CC(O[Si](C)(C)C)C1,8.89
939,CCCN1CCCCC1,10.45
940,CCCN1CCN(c2ccc(C#N)cc2)CC1,7.78
941,CCCN1CCN(c2ccc([N+](=O)[O-])cc2)CC1,7.59
942,CCCN1CCN(c2cccc(C#N)c2)CC1,7.67
943,CCCN1CCN(c2cccc(Cl)c2)CC1,7.83
944,CCCN1CCN(c2cccc([N+](=O)[O-])c2)CC1,7.7
945,CCCN1CCN(c2ccccc2C#N)CC1,7.92
946,CCCN1CCN(c2ccccc2C(F)(F)F)CC1,8.8
947,CCCN1CCN(c2ccccc2Cl)CC1,8.07
948,CCCN1CCN(c2ccccc2OC)CC1,8.29
949,CCCN1CCN(c2ccccc2[N+](=O)[O-])CC1,7.94
950,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,8.78
951,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,4.9
952,CCCNC(C)(C)P(=O)(OCC)OCC,6.99
953,CCCNC(C)C,10.96
954,CCCNC1c2ccccc2C=Cc2ccccc21,8.9
955,CCCNCCC,11.02
956,CCCNCc1ccc(C)cc1,9.98
957,CCCNCc1ccccc1,9.62
958,CCCN[N+](=O)[O-],6.47
959,CCCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12,7.2
960,CCCNc1ccccc1,5.12
961,CCCO,15.97
962,CCCOC(=O)c1ccc(N)cc1,2.49
963,CCCOC(=O)c1ccc(O)cc1,8.3
964,CCCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.03
965,CCCOC(=S)NC(C)=O,9.34
966,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,6.65
967,CCCOc1ccc(C(=O)O)cc1,4.63
968,CCCOc1ccc(O)cc1,10.23
969,CCCOc1ccccc1C(=O)O,4.24
970,CCCP(=O)(O)CCC,3.33
971,CCCS,10.56
972,CCCS(=O)O,2.35
973,CCCSC(=N)c1ccccc1,8.1
974,CCCSC(C)C(=O)O,3.82
975,CCCSCC(=O)O,3.77
976,CCCSCCN,9.43
977,CCCSCCN(CC)CC,8.83
978,CCC[Se](=O)O,5.25
979,CCC[Si](C)(CCC)CC(=O)O,5.65
980,CCC[n+]1cccc2c(O)cccc21,6.06
981,CCC[n+]1cccc2cc(O)ccc21,7.08
982,CCCc1c(C)[nH][n+](C)c1[O-],10.5
983,CCCc1cc(Cl)cc(Cl)c1O,8.1
984,CCCc1ccc(C)nn1,4.25
985,CCCc1ccc(CCCN(C)C)cc1,10.54
986,CCCc1ccccc1N,4.36
987,CCCc1ccccn1,5.97
988,CCCc1cccnn1,3.59
989,CCCc1oc2ccccc2c(=O)c1C(=O)c1ccc(O)cc1,7.74
990,CCCn1ccnc1C,8.2
991,CCCn1ccnc1C=O,5.15
992,CCCn1cnc2ccccc21,5.46
993,CCCn1cncn1,2.36
994,CCCn1nnnc1N,1.8
995,CCN,10.77
996,CCN(C(C)C)C(C)C,11.44
997,CCN(C)C,10.125
998,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,8.99
999,CCN(C)CC,10.39
